nohup: ignoring input
total base parameters 385030726
total upsampler parameters 398361286
[Epoch 0] 0.00% (0/1366 batches) | Step 0 | Base: 0.3056 | Up: 0.5028
[Epoch 0] 3.66% (50/1366 batches) | Step 50 | Base: 0.1636 | Up: 0.0851
[Epoch 0] 7.32% (100/1366 batches) | Step 100 | Base: 0.0737 | Up: 0.0517
[Epoch 0] 10.98% (150/1366 batches) | Step 150 | Base: 0.0392 | Up: 0.0377
[Epoch 0] 14.64% (200/1366 batches) | Step 200 | Base: 0.0655 | Up: 0.0400
[Epoch 0] 18.30% (250/1366 batches) | Step 250 | Base: 0.0232 | Up: 0.0301
[Epoch 0] 21.96% (300/1366 batches) | Step 300 | Base: 0.0323 | Up: 0.0525
[Epoch 0] 25.62% (350/1366 batches) | Step 350 | Base: 0.1125 | Up: 0.0237
[Epoch 0] 29.28% (400/1366 batches) | Step 400 | Base: 0.0316 | Up: 0.1713
[Epoch 0] 32.94% (450/1366 batches) | Step 450 | Base: 0.0199 | Up: 0.0442
[Epoch 0] 36.60% (500/1366 batches) | Step 500 | Base: 0.0263 | Up: 0.0642
[Epoch 0] 40.26% (550/1366 batches) | Step 550 | Base: 0.0268 | Up: 0.0229
[Epoch 0] 43.92% (600/1366 batches) | Step 600 | Base: 0.0479 | Up: 0.0245
[Epoch 0] 47.58% (650/1366 batches) | Step 650 | Base: 0.0283 | Up: 0.0222
[Epoch 0] 51.24% (700/1366 batches) | Step 700 | Base: 0.0531 | Up: 0.0267
[Epoch 0] 54.90% (750/1366 batches) | Step 750 | Base: 0.1205 | Up: 0.0386
[Epoch 0] 58.57% (800/1366 batches) | Step 800 | Base: 0.0257 | Up: 0.1615
[Epoch 0] 62.23% (850/1366 batches) | Step 850 | Base: 0.0300 | Up: 0.0179
[Epoch 0] 65.89% (900/1366 batches) | Step 900 | Base: 0.0466 | Up: 0.0685
[Epoch 0] 69.55% (950/1366 batches) | Step 950 | Base: 0.1521 | Up: 0.0171
[Epoch 0] 73.21% (1000/1366 batches) | Step 1000 | Base: 0.0695 | Up: 0.0195
[Epoch 0] 76.87% (1050/1366 batches) | Step 1050 | Base: 0.0709 | Up: 0.1804
[Epoch 0] 80.53% (1100/1366 batches) | Step 1100 | Base: 0.0570 | Up: 0.0193
[Epoch 0] 84.19% (1150/1366 batches) | Step 1150 | Base: 0.2611 | Up: 0.0212
[Epoch 0] 87.85% (1200/1366 batches) | Step 1200 | Base: 0.0945 | Up: 0.0490
[Epoch 0] 91.51% (1250/1366 batches) | Step 1250 | Base: 0.0271 | Up: 0.0228
[Epoch 0] 95.17% (1300/1366 batches) | Step 1300 | Base: 0.0484 | Up: 0.0302
[Epoch 0] 98.83% (1350/1366 batches) | Step 1350 | Base: 0.0680 | Up: 0.0799
[Epoch 1] 0.00% (0/1366 batches) | Step 0 | Base: 0.0818 | Up: 0.0239
[Epoch 1] 3.66% (50/1366 batches) | Step 50 | Base: 0.0327 | Up: 0.1320
[Epoch 1] 7.32% (100/1366 batches) | Step 100 | Base: 0.1315 | Up: 0.1306
[Epoch 1] 10.98% (150/1366 batches) | Step 150 | Base: 0.0657 | Up: 0.0771
[Epoch 1] 14.64% (200/1366 batches) | Step 200 | Base: 0.0391 | Up: 0.0247
